species,family,geog_range,movement_keyword,demers_pelag,length,common_name,kfin,r_fin,diet_troph3,Class,iucn_category,pred_50,pred_05,pred_95,pred_25,pred_75,observed_homerange,predicted_homerange,predicted_pld,observed_pld
Aplodactylus punctatus,Aplodactylidae,240000,habitat_coastal,demersal,43.70000076,NA,41.96266255,0.630179269,2.04,Actinopteri,NA,0.003297,0.003297,9.682782451,6.45E-06,0.060991803,NA,0.008592224,36.22505093,NA
Aprion virescens,Lutjanidae,12892500,habitat_reef,reef-associated,112,NA,113.3144342,0.58848637,4.28,Actinopteri,LC,0.027348309,0.027348309,220.625,0.00123027,8.5,NA,0.216639133,30.80563369,NA
Apsilus fuscus,Lutjanidae,512500,habitat_reef,demersal,75,NA,3.139397329,0.591196273,4.005355048,Actinopteri,LC,0.029410133,0.029410133,7.849166287,0.002075459,0.341291664,NA,0.066938646,27.27816842,NA
Archosargus probatocephalus,Sparidae,2200000,habitat_reef,reef-associated,91,NA,6582.156033,0.609579594,3.575754586,Actinopteri,LC,0.145837,0.145837,69.37218463,0.020686774,0.32,NA,0.073670553,29.87434992,NA
Arctoscopus japonicus,Trichodontidae,1677500,habitat_benthic,bathydemersal,30,NA,108251.2158,0.630179269,3.557076306,Actinopteri,NA,0.003297,0.003297,3.790022135,8.13E-06,0.218337659,NA,0.008237489,49.22814017,NA
Argentina silus,Argentinidae,2310000,pelagic,bathypelagic,70,NA,2785.434725,0.073400392,3.32,Actinopteri,NA,0.190553387,0.190553387,69.37218463,0.025016,0.764606108,NA,0.070593803,53.94832547,NA
Argentina sphyraena,Argentinidae,2555000,pelagic,bathydemersal,35,NA,5669.679004,0.227703191,3.49,Actinopteri,NA,0.218337659,0.218337659,69.37218463,0.020686774,0.419377278,NA,0.029892702,33.27998698,NA
Argyrops spinifer,Sparidae,13112500,habitat_coastal,demersal,80,NA,11308.83887,0.494486133,4.49,Actinopteri,LC,0.25,0.25,93840.98602,0.004279988,23.22898081,NA,1.953381073,32.64854032,NA
Argyrosomus hololepidotus,Sciaenidae,347500,habitat_coastal,demersal,200,NA,81983.30163,0.227953054,4.48,Actinopteri,EN,0.003297,0.003297,24.63249455,6.45E-06,0.525706192,NA,0.036973996,39.22667388,NA
Argyrosomus regius,Sciaenidae,1400000,migratory,benthopelagic,230,NA,35019.83379,0.149075294,4.285529247,Actinopteri,LC,0.04451615,0.04451615,359.0771463,0.0034,2.43042486,NA,0.255976844,50.3067819,NA
Arripis trutta,Arripidae,930000,habitat_coastal,pelagic-neritic,89,NA,45063.22021,0.285831282,4.07,Actinopteri,NA,0.04451615,0.04451615,7.78,0.015758747,0.331883112,NA,0.070717714,41.8810772,NA
Atheresthes evermanni,Pleuronectidae,1745000,habitat_benthic,demersal,100,NA,47522.58494,0.172236506,4.3,Actinopteri,NA,0.021204,0.021204,7.78,0.003297,0.04451615,NA,0.051019722,54.73702402,NA
Atheresthes stomias,Pleuronectidae,1287500,habitat_benthic,demersal,84,NA,3356654.472,0.192836543,4.17,Actinopteri,NA,0.04451615,0.04451615,4.17,0.007726488,0.331883112,NA,0.048054146,53.2907325,NA
Atherina boyeri,Atherinidae,1385000,habitat_coastal,demersal,20,NA,5070.648817,0.812586347,3.286241238,Actinopteri,LC,0.020686774,0.020686774,1.207703124,8.13E-06,0.32,NA,0.010570616,37.62859705,NA
Atractoscion aequidens,Sciaenidae,4040000,habitat_coastal,benthopelagic,130,NA,2288.230401,0.311853212,4.481651192,Actinopteri,VU,0.04451615,0.04451615,42.10249306,0.014020895,0.25,NA,0.074052187,38.08580397,NA
Atractoscion nobilis,Sciaenidae,522500,habitat_coastal,demersal,166,NA,1870.644824,0.296616436,4.332225091,Actinopteri,LC,0.025016,0.025016,69.37218463,0.0034,7.78,NA,0.226850081,36.46230551,NA
Atrobucca nibe,Sciaenidae,9827500,habitat_coastal,demersal,45,NA,25016.42764,0.460821512,3.977337618,Actinopteri,NA,0.048,0.048,23.36565604,0.0013065,0.77,NA,0.069195712,27.85452849,NA
Atule mate,Carangidae,11757500,habitat_reef,reef-associated,30,NA,1356.375346,1.254655656,4.22,Actinopteri,LC,2.14E-04,2.14E-04,9.398965353,8.13E-06,0.024080979,NA,0.018833517,43.36994665,NA
Austroglossus microlepis,Soleidae,307500,habitat_benthic,bathydemersal,75,NA,11375.11571,0.185580881,3.529058885,Actinopteri,DD,0.003297,0.003297,0.902079429,6.45E-06,0.025016,NA,0.007072819,53.50886061,NA
Austroglossus pectoralis,Soleidae,172500,habitat_benthic,demersal,60,NA,9694.211567,0.267643426,4.0427116,Actinopteri,NA,0.00123027,0.00123027,0.545169455,6.45E-06,0.025016,NA,0.006612068,53.00643939,NA
Auxis thazard,Scombridae,24452500,pelagic,pelagic-neritic,65,NA,1188784.853,0.704484871,4.37,Actinopteri,NA,8.5,8.5,138546.9177,0.021204,28773,NA,3.260000898,23.71398908,10
Balistes capriscus,Balistidae,5260000,habitat_reef,reef-associated,60,grey triggerfish,459.8551277,0.824568385,4.06,Actinopteri,VU,0.0013065,0.0013065,69.37218463,0.0013065,0.054107361,0.0013065,0.071384819,34.49780138,NA
Belone belone,Belonidae,2555000,pelagic,pelagic-oceanic,104,NA,26192.69803,0.478994871,4.16,Actinopteri,LC,0.04451615,0.04451615,220.625,0.014020895,0.764606108,NA,0.083870263,28.82918244,NA
Beryx decadactylus,Berycidae,19952500,habitat_deep,bathydemersal,100,NA,10665.2007,0.158706812,4.136103002,Actinopteri,LC,5.55,5.55,91382,0.019379506,23.92044613,NA,2.895392957,36.48172493,NA
Beryx splendens,Berycidae,17805000,habitat_deep,benthopelagic,70,NA,11085.67752,0.241932168,4.27,Actinopteri,LC,4.17,4.17,91382,0.027348309,23.22898081,NA,2.839654502,35.84925657,NA
Bolbometopon muricatum,Scaridae,10460000,habitat_reef,reef-associated,130,NA,921.481753,0.236827261,2.772588524,Actinopteri,VU,0.029410133,0.029410133,42.10249306,0.0034,0.764606108,NA,0.082195925,37.50414119,31
Boops boops,Sparidae,2757500,pelagic,demersal,40,NA,289938.8997,0.47071232,2.79,Actinopteri,LC,0.3026,0.3026,69.37218463,0.218337659,0.524649642,NA,0.059946569,35.70276038,16.8
Boreogadus saida,Gadidae,4780000,migratory,demersal,40,artic cod,272362.6872,0.37076155,3.12,Actinopteri,NA,0.222006046,0.222006046,4.17,0.218337659,0.419377278,0.218337659,0.059487906,41.14519734,NA
Bothus pantherinus,Bothidae,9750000,habitat_benthic,reef-associated,39,NA,223.1836131,0.785631156,3.547737166,Actinopteri,LC,0.060991803,0.060991803,9.398965353,0.0013065,0.419377278,NA,0.041860446,47.33313183,NA
Brachydeuterus auritus,Haemulidae,650000,habitat_coastal,benthopelagic,30,NA,70828.46313,0.674190072,3.108797573,Actinopteri,NT,0.020686774,0.020686774,9.682782451,8.13E-06,0.311178405,NA,0.011016187,37.21221915,NA
