magnitude_homerange,month_pld,species,class
-2,1,Microgadus tomcod,4
-1,2,Micromesistius australis,1
-1,1,Micromesistius poutassou,4
-1,2,Micropogonias furnieri,1
-1,2,Micropogonias undulatus,1
-1,3,Microstomus kitt,3
-2,3,Microstomus pacificus,3
-1,2,Miichthys miiuy,1
-1,2,Molva dypterygia,1
-2,2,Molva molva,1
-2,2,Monotaxis grandoculis,1
-1,2,Mora moro,1
0,2,Mugil cephalus,1
-1,2,Mugil curema,1
-1,2,Mugil liza,1
-4,2,Mullus argentinae,7
-2,2,Mullus barbatus,1
-2,2,Mullus surmuletus,1
-1,2,Muraenesox cinereus,1
-2,2,Mycteroperca phenax,1
-1,2,Naucrates ductor,1
-3,2,Nematalosa nasus,1
-3,3,Nemipterus japonicus,3
-3,2,Nemipterus virgatus,1
-4,2,Normanichthys crockeri,7
-2,1,Oblada melanuras,4
-1,2,Oncorhynchus gorbuscha,1
-1,3,Oncorhynchus keta,3
-1,2,Oncorhynchus kisutch,1
-1,1,Oncorhynchus masou,4
-1,2,Oncorhynchus nerka,1
-1,2,Oncorhynchus tshawytscha,1
-3,2,Opisthonema libertate,1
-2,2,Opisthonema oglinum,1
-1,1,Orcynopsis unicolor,4
-2,2,Osmerus eperlanus,1
-3,2,Osmerus mordax,1
-1,2,Otolithes ruber,1
-3,1,Pagellus acarne,4
-2,2,Pagellus bellottii,1
-2,2,Pagellus bogaraveo,1
-1,1,Pagellus erythrinus,4
-1,2,Pagrus major,1
-1,2,Pampus argenteus,1
-2,2,Paralabrax humeralis,1
-2,2,Paralichthys californicus,1
-2,4,Paralichthys dentatus,5
-2,2,Paralonchurus peruanus,1
-2,1,Parapercis colias,4
-1,2,Parastromateus niger,1
-2,2,Paristiopterus labiosus,1
-2,2,Parona signata,1
-2,2,Patagonotothen ramsayi,1
-2,2,Pegusa lascaris,1
-4,2,Pelates quadrilineatus,7
-3,2,Pennahia aneas,1
-2,2,Pennahia argentata,1
-2,2,Pentaceros richardsoni,1
-3,1,Pentanemus quinquarius,4
-3,2,Peprilus paru,1
-3,2,Peprilus triacanthus,1
-2,2,Percophis brasiliensis,1
-2,2,Petromyzon marinus,1
-2,2,Petrus rupestris,1
-1,2,Phycis blennoides,1
-2,2,Phycis phycis,1
-2,2,Plagiogeneion rubiginosum,1
-1,2,Platichthys flesus,1
-1,2,Platichthys stellatus,1
0,2,Platycephalus indicus,1
-2,1,Plectorhinchus gaterinus,4
-2,2,Plectorhinchus mediterraneus,1
-1,2,Plectorhinchus pictus,1
-2,1,Plectorhinchus schotaf,4
-2,1,Plectorhinchus sordidus,4
-2,2,Plectropomus pessuliferus,1
-2,2,Pleurogrammus azonus,1
-2,2,Pleurogrammus monopterygius,1
-1,4,Pleuronectes platessa,5
-1,3,Pleuronectes quadrituberculatus,3
-1,2,Pogonias cromis,1
-1,2,Polydactylus quadrifilis,1
-1,2,Polyprion americanus,1
-2,2,Pomacanthus maculosus,1
-1,2,Pomadasys argenteus,1
-2,2,Pomadasys jubelini,1
-1,2,Pomadasys kaakan,1
-3,2,Pomadasys stridens,1
3,2,Pomatomus saltatrix,6
-2,2,Pontinus kuhlii,1
-3,2,Priacanthus macracanthus,1
-1,2,Promethichthys prometheus,1
-3,2,Psenopsis anomala,1
-2,2,Psettichthys melanostictus,1
-1,2,Psettodes erumei,1
-1,2,Pseudocyttus maculatus,1
-1,2,Pseudopercis semifasciata,1
-1,2,Pseudophycis bachus,1
-1,3,Pseudopleuronectes americanus,3
-2,2,Pseudopleuronectes herzensteini,1
-2,2,Pseudotolithus elongatus,1
-1,2,Pseudotolithus senegalensis,1
-1,2,Pseudotolithus senegallus,1
-2,2,Pseudupeneus prayensis,1
-2,2,Pterogymnus laniarius,1
-4,2,Pteroscion peli,7
0,2,Rachycentron canadum,1
-3,2,Rastrelliger brachysoma,1
-2,2,Reinhardtius hippoglossoides,1
-2,2,Rexea solandri,1
-2,2,Rhabdosargus globiceps,1
-3,1,Rhabdosargus haffara,4
-2,1,Rhomboplites aurorubens,4
1,2,Ruvettus pretiosus,1
-2,2,Salilota australis,1
-1,2,Salmo salar,1
-2,2,Salvelinus alpinus,1
