species,common_name,homerange,n_ind,kfin,r_fin,iucn_category,length,diet_troph3,Class,demers_pelag,family,movement_keyword,geog_range,m_fin
Sarpa salpa,salema,4.27e-4,4,8456.209714603301,0.5113056731,LC,51,2,Actinopteri,benthopelagic,Sparidae,habitat_reef,1802500,2
Sarpa salpa,salema,0.049,18,8456.209714603301,0.5113056731,LC,51,2,Actinopteri,benthopelagic,Sparidae,habitat_reef,1802500,2
Scorpaenichthys marmoratus,cabezon,0.0033,27,642.5057606469001,0.3221760997,NA,99,3.6600110176291776,Actinopteri,demersal,Cottidae,habitat_benthic,410000,2
Sebastes melanops,black rockfish,0.25,23,27787.10688085077,0.08504845244,NA,63,4.38,Actinopteri,reef-associated,Sebastidae,habitat_reef,1035000,2
Sebastes mystinus,blue rockfish,0.008783,10,5301.713840016691,0.1037400389,NA,61,2.71,Actinopteri,reef-associated,Sebastidae,habitat_reef,680000,2
Semicossyphus pulcher,california sheephead,0.26,38,27.00400647520341,0.7074505784,VU,91,3.6039655658616505,Actinopteri,reef-associated,Labridae,habitat_reef,222500,2
Semicossyphus pulcher,california sheephead,0.015134,16,27.00400647520341,0.7074505784,VU,91,3.6039655658616505,Actinopteri,reef-associated,Labridae,habitat_reef,222500,2
Serranus cabrilla,comber,0.77,15,740.2557182942206,0.5110288116,LC,40,3.35,Actinopteri,demersal,Serranidae,habitat_benthic,3617500,2
Solea senegalensis,senegalese sole,1.185882353,17,750.3105769982275,0.1405178112,DD,60,3.314396846087592,Actinopteri,demersal,Soleidae,habitat_benthic,920000,2
Solea senegalensis,senegalese sole,0.88,17,750.3105769982275,0.1405178112,DD,60,3.314396846087592,Actinopteri,demersal,Soleidae,habitat_benthic,920000,2
Sparisoma cretense,parrotfish,0.041983,12,2093.718352663624,0.4855992205,LC,50,2.9501007147589373,Actinopteri,reef-associated,Scaridae,habitat_coastal,1422500,2
Sparus aurata,gilthead seabream,0.1674366,5,52530.50872683109,0.3799373066,LC,70,3.7,Actinopteri,demersal,Sparidae,habitat_reef,1810000,2
Sphyraena barracuda,great barracuda,1.39,32,48650.529050795485,0.2827322183,LC,200,4.49,Actinopteri,reef-associated,Sphyraenidae,habitat_coastal,16007500,2
Thunnus albacares,yellowfin tuna,58000,3,2632284.9072994697,0.3716833358,NT,239,4.41,Actinopteri,pelagic-oceanic,Scombridae,hms,238802500,3
Thunnus orientalis,pacific bluefin tuna,91382,12,180859.50897261652,0.1918063374,VU,300,4.416666666666667,Actinopteri,pelagic-oceanic,Scombridae,hms,137085000,3
Xyrichtys novacula,pearly razorfish,0.32,6,179.8277477472612,0.6510452445,LC,38,3.51,Actinopteri,reef-associated,Labridae,habitat_coastal,4975000,2
Ablennes hians,NA,NA,NA,38.098345310676514,0.5809176178,LC,140,4.4820126516281515,Actinopteri,reef-associated,Belonidae,habitat_coastal,10402500,2
