species,observed_homerange,family,n_ind,geog_range,movement_keyword,demers_pelag,length,common_name,kfin,r_fin,diet_troph3,class,iucn_category,predicted_homerange,predicted_pld,observed_pld
Istiophorus platypterus,47529851.61,Istiophoridae,19,194122500,hms,pelagic-oceanic,348,indo-pacific sailfish,229747.1649,0.466166849,4.5,Actinopteri,LC,93476.21104,34.72534745,NA
Labrus bergylta,0.072237819,Labridae,2,872500,habitat_reef,reef-associated,65.90000153,ballan wrasse,832.7850932,0.2079384,3.2,Actinopteri,LC,0.051676105,38.77994444,NA
Lutjanus analis,0.190553387,Lutjanidae,1,2712500,habitat_reef,reef-associated,94,mutton snapper,158.9383908,0.374912566,3.91,Actinopteri,NT,0.10513861,30.14590003,31
Lutjanus campechanus,0.010896974,Lutjanidae,59,2282500,habitat_reef,reef-associated,100,red snapper,16964.4668,0.353869418,3.940238918,Actinopteri,VU,0.224004412,32.37267629,28
Sarpa salpa,0.020686774,Sparidae,4,1802500,habitat_reef,benthopelagic,51,salema,8456.209715,0.511305673,2,Actinopteri,LC,0.066310003,35.81546902,31.6
Semicossyphus pulcher,0.111954514,Labridae,38,222500,habitat_reef,reef-associated,91,california sheephead,27.00400648,0.707450578,3.603965566,Actinopteri,VU,0.017749019,31.74508875,47.46666667
Solea senegalensis,1.021555907,Soleidae,17,920000,habitat_benthic,demersal,60,senegalese sole,750.310577,0.140517811,3.314396846,Actinopteri,DD,0.04356116,59.2791669,NA
Ablennes hians,NA,Belonidae,NA,10402500,habitat_coastal,reef-associated,140,NA,38.09834531,0.580917618,4.482012652,Actinopteri,LC,0.136153315,29.97405829,NA
Acanthistius brasilianus,NA,Serranidae,NA,772500,habitat_benthic,benthopelagic,60,NA,43325.50972,0.392822614,4.024307256,Actinopteri,DD,0.08495624,53.1847708,NA
Acanthocybium solandri,NA,Scombridae,NA,193442500,pelagic,pelagic-oceanic,250,NA,23280.69491,0.522684226,4.26,Actinopteri,LC,26979.85289,42.09190101,NA
Acanthopagrus berda,NA,Sparidae,NA,6690000,habitat_coastal,demersal,90,NA,141.2034009,0.547748847,3.547920007,Actinopteri,LC,0.100096073,30.2054696,NA
Acanthopagrus bifasciatus,NA,Sparidae,NA,815000,habitat_reef,reef-associated,36.20000076,NA,1089.812244,0.48670769,3.445169816,Actinopteri,LC,0.0021762,24.71560293,NA
Acanthurus sohal,NA,Acanthuridae,NA,955000,habitat_reef,reef-associated,40,NA,202.6964938,0.530369312,2.146781041,Actinopteri,LC,0.021222514,35.44937462,NA
Acipenser transmontanus,NA,Acipenseridae,NA,350000,habitat_coastal,demersal,610,NA,3863.42155,0.08634626,3.25,Actinopteri,LC,0.914233201,51.78197897,NA
