species,observed_homerange,family,n_ind,geog_range,movement_keyword,demers_pelag,length,common_name,kfin,r_fin,diet_troph3,class,iucn_category,predicted_homerange,predicted_pld,observed_pld
Lutjanus buccanella,NA,Lutjanidae,NA,2275000,habitat_coastal,reef-associated,75,NA,59.15550784,0.522081563,3.921557065,Actinopteri,DD,0.082345929,26.63416217,26
Lutjanus cyanopterus,NA,Lutjanidae,NA,2590000,habitat_reef,reef-associated,160,NA,292.0709686,0.38120872,4.36,Actinopteri,VU,0.102506771,30.70193911,29
Lutjanus gibbus,NA,Lutjanidae,NA,12437500,habitat_reef,reef-associated,50,NA,844.8831364,0.436363308,4.12,Actinopteri,LC,0.469268775,26.6079968,54
Lutjanus guttatus,NA,Lutjanidae,NA,542500,habitat_reef,reef-associated,80,NA,983.5538908,0.369622858,4.04,Actinopteri,LC,0.060806446,28.32266857,24.15
Lutjanus johnii,NA,Lutjanidae,NA,11712500,habitat_reef,reef-associated,97,NA,40553.99237,0.365000513,4.2,Actinopteri,LC,1.383313977,38.32891148,NA
Lutjanus kasmira,NA,Lutjanidae,NA,12822500,habitat_reef,reef-associated,40,NA,40.45108344,0.454178194,3.87,Actinopteri,LC,0.257943954,30.48629937,31
Lutjanus malabaricus,NA,Lutjanidae,NA,10885000,habitat_reef,reef-associated,100,NA,2714.095459,0.299989449,4.48,Actinopteri,NA,0.060231347,38.92841282,NA
Lutjanus peru,NA,Lutjanidae,NA,502500,habitat_reef,reef-associated,95,NA,3033.722169,0.268598097,4.033648182,Actinopteri,LC,0.046874806,39.29171518,NA
Lutjanus purpureus,NA,Lutjanidae,NA,1527500,habitat_reef,demersal,100,NA,50541.7241,0.307978176,3.58,Actinopteri,NA,0.184091267,48.35374909,NA
Lutjanus quinquelineatus,NA,Lutjanidae,NA,9740000,habitat_reef,reef-associated,38,NA,1784.884776,0.326846869,3.68,Actinopteri,LC,0.033609586,37.28664875,NA
Lutjanus synagris,NA,Lutjanidae,NA,3455000,habitat_reef,reef-associated,60,NA,28340.63155,0.66052967,3.82,Actinopteri,NT,0.147469635,32.8806261,23.87
Lutjanus vivanus,NA,Lutjanidae,NA,2635000,habitat_reef,reef-associated,83,NA,230.3172043,0.251652933,3.09,Actinopteri,LC,0.073822555,37.20471873,NA
Macrodon ancylodon,NA,Sciaenidae,NA,1177500,habitat_coastal,demersal,45,NA,49574.92161,0.61741782,3.921557065,Actinopteri,LC,0.119613712,35.99894934,NA
Macrourus berglax,NA,Macrouridae,NA,2517500,habitat_deep,benthopelagic,110,NA,11489.68524,0.087752099,3.837488727,Actinopteri,NA,0.109570186,49.067034,NA
Macrourus carinatus,NA,Macrouridae,NA,1895000,habitat_deep,bathydemersal,100,NA,51584.77013,0.130908793,3.734738536,Actinopteri,NA,0.128956688,49.37482461,NA
Macrourus whitsoni,NA,Macrouridae,NA,31287500,habitat_deep,bathypelagic,84,NA,787.8156811,0.130908793,3.519897228,Actinopteri,NA,0.839401245,45.84871078,NA
Malacanthus plumieri,NA,Malacanthidae,NA,2252500,habitat_benthic,reef-associated,70,NA,4.481635119,0.401639123,3.71,Actinopteri,LC,0.091815825,44.75129004,NA
Mallotus villosus,NA,Osmeridae,NA,13647500,migratory,pelagic-oceanic,20,NA,7400552.68,0.138113299,3.15,Actinopteri,NA,0.014898001,106.2172937,150
Megalaspis cordyla,NA,Carangidae,NA,10982500,pelagic,reef-associated,80,NA,323579.9364,0.855472818,3.930897991,Actinopteri,LC,0.408515632,32.99592378,NA
Megalops cyprinoides,NA,Megalopidae,NA,11922500,habitat_coastal,benthopelagic,150,NA,12359.30533,0.219631114,3.48,Actinopteri,DD,2.334535517,38.92015028,NA
Melanogrammus aeglefinus,NA,Gadidae,NA,2797500,migratory,demersal,112,NA,589371.633,0.301691966,4.03,Actinopteri,VU,0.178467072,85.65338812,141
Mene maculata,NA,Menidae,NA,6955000,habitat_reef,reef-associated,30,NA,161394.3581,0.681372715,3.501215375,Actinopteri,NA,0.001957533,33.25884279,NA
Menidia menidia,NA,Atherinopsidae,NA,912500,habitat_coastal,pelagic-neritic,15,NA,1323.357543,0.883068984,3.19,Actinopteri,LC,0.001170206,37.2979696,35
Menticirrhus littoralis,NA,Sciaenidae,NA,2402500,habitat_coastal,demersal,48.29999924,NA,7736.086232,0.552421971,3.92,Actinopteri,LC,0.080629577,27.56704792,NA
Menticirrhus saxatilis,NA,Sciaenidae,NA,1627500,habitat_coastal,demersal,46,NA,390.503342,0.497880502,3.56,Actinopteri,LC,0.044931594,28.16529082,NA
Merlangius merlangus,NA,Gadidae,NA,2155000,migratory,benthopelagic,91.5,NA,283963.7216,0.396282595,4.36,Actinopteri,LC,0.137266583,30.74615028,NA
Merluccius albidus,NA,Merlucciidae,NA,1745000,pelagic,bathydemersal,40.59999847,NA,93.99764124,0.365328316,3.43,Actinopteri,LC,0.044721686,35.71869356,NA
Merluccius australis,NA,Merlucciidae,NA,1232500,migratory,benthopelagic,155,NA,458081.8423,0.056425285,4.435308019,Actinopteri,NA,0.097555435,56.26501974,NA
Merluccius bilinearis,NA,Merlucciidae,NA,925000,migratory,demersal,76,NA,492540.1862,0.154190389,4.49,Actinopteri,NT,0.047046922,39.3400835,NA
Merluccius capensis,NA,Merlucciidae,NA,535000,migratory,bathydemersal,140,NA,5521057.483,0.137980456,3.902875212,Actinopteri,LC,0.197837728,69.73397761,NA
Merluccius hubbsi,NA,Merlucciidae,NA,1412500,migratory,benthopelagic,95,NA,4226135.199,0.227029036,4.229807638,Actinopteri,NA,0.091042642,45.42632497,NA
Merluccius merluccius,NA,Merlucciidae,NA,2487500,habitat_deep,demersal,140,NA,185465.2204,0.310269594,4.42,Actinopteri,LC,0.254244193,34.48362057,NA
Merluccius polli,NA,Merlucciidae,NA,630000,habitat_deep,bathydemersal,80,NA,13025.87948,0.234269326,4.482012652,Actinopteri,LC,0.038940547,32.92391413,NA
Merluccius productus,NA,Merlucciidae,NA,960000,migratory,pelagic-neritic,91,NA,7061680.778,0.12010337,4.35,Actinopteri,LC,0.050182276,90.33298378,88
Merluccius senegalensis,NA,Merlucciidae,NA,47500,migratory,demersal,81,NA,301939.4071,0.196314064,4.482012652,Actinopteri,EN,0.02007377,29.48063558,NA
Meuschenia scaber,NA,Monacanthidae,NA,1115000,habitat_coastal,demersal,31,NA,1370.926443,1.031915321,3.11,Actinopteri,LC,0.001178528,37.05345758,NA
Microgadus tomcod,NA,Gadidae,NA,632500,habitat_coastal,demersal,38.09999847,NA,1410.13149,0.46107757,3.837488727,Actinopteri,LC,0.024128282,28.13631943,NA
Micromesistius australis,NA,Gadidae,NA,1522500,migratory,benthopelagic,90,NA,1601295.203,0.138834909,3.398465184,Actinopteri,NA,0.13109578,59.17493886,NA
Micromesistius poutassou,NA,Gadidae,NA,11370000,migratory,bathypelagic,55.5,NA,2238132.139,0.264956898,4.13,Actinopteri,NA,0.733445201,36.73270658,7.75
Micropogonias furnieri,NA,Sciaenidae,NA,2195000,habitat_coastal,demersal,60,NA,227203.5195,0.541310594,3.09,Actinopteri,LC,0.15125119,36.18331935,NA
Micropogonias undulatus,NA,Sciaenidae,NA,2317500,habitat_coastal,demersal,55,NA,44582.67097,0.873782776,4.014966329,Actinopteri,LC,0.130231271,37.65907527,NA
Microstomus kitt,NA,Pleuronectidae,NA,1532500,habitat_benthic,demersal,65,NA,286647.3621,0.12105525,3.27703314,Actinopteri,NA,0.112883998,63.98545434,NA
Microstomus pacificus,NA,Pleuronectidae,NA,1172500,habitat_benthic,demersal,76,NA,565172.0037,0.089528983,3.22,Actinopteri,NA,0.088960732,66.9880345,NA
Miichthys miiuy,NA,Sciaenidae,NA,870000,habitat_coastal,demersal,70,NA,254347.1254,0.562138124,3.547920007,Actinopteri,NA,0.193188727,35.67409912,NA
Molva dypterygia,NA,Lotidae,NA,2642500,habitat_benthic,demersal,155,NA,190950.5942,0.12236097,4.49,Actinopteri,NA,0.117665541,54.109158,NA
Molva molva,NA,Lotidae,NA,1615000,habitat_benthic,demersal,200,NA,1109512.435,0.111647026,4.4,Actinopteri,NA,0.095289276,57.46982067,NA
Monotaxis grandoculis,NA,Lethrinidae,NA,11135000,habitat_reef,reef-associated,60,NA,113.7729425,0.551484374,3.37,Actinopteri,LC,0.077382682,30.82227147,33.3
Mora moro,NA,Moridae,NA,56435000,deep,bathypelagic,80,NA,10677.45905,0.146467431,3.781443168,Actinopteri,LC,0.833542716,53.38755738,NA
Mugil cephalus,NA,Mugilidae,NA,15862500,habitat_coastal,benthopelagic,100,NA,609274.372,0.277257899,2.59514551,Actinopteri,LC,1.433956254,53.81228278,NA
Mugil curema,NA,Mugilidae,NA,5337500,habitat_coastal,reef-associated,91,NA,5777.702193,0.519755415,2.01,Actinopteri,LC,0.152888743,36.11530305,NA
Mugil liza,NA,Mugilidae,NA,2622500,migratory,demersal,80,NA,12098.99119,0.477722143,2.146781041,Actinopteri,DD,0.198208241,35.17740677,NA
Mullus argentinae,NA,Mullidae,NA,310000,habitat_benthic,demersal,30,NA,600.969623,0.776864557,3.501215375,Actinopteri,NA,4.34E-04,46.10149566,NA
Mullus barbatus,NA,Mullidae,NA,727500,habitat_benthic,demersal,38.20000076,NA,3400.603392,0.68,3.14,Actinopteri,NA,0.027937815,43.89714241,NA
Mullus surmuletus,NA,Mullidae,NA,2882500,habitat_benthic,demersal,40,NA,17341.66403,0.656087269,3.45,Actinopteri,LC,0.071708838,42.84954298,30.1
Muraenesox cinereus,NA,Muraenesocidae,NA,6977500,sedentary,demersal,220,NA,4874752.99,0.409229387,4.369921534,Actinopteri,NA,0.474039585,49.24933984,NA
Mycteroperca phenax,NA,Serranidae,NA,1627500,habitat_reef,reef-associated,107,NA,154.0661309,0.21559573,4.47,Actinopteri,DD,0.03346801,33.5637568,NA
Naucrates ductor,NA,Carangidae,NA,23690000,pelagic,reef-associated,70,NA,67.96813996,1.064734154,3.463851669,Actinopteri,LC,0.765416895,32.49417099,NA
Nematalosa nasus,NA,Clupeidae,NA,3562500,habitat_coastal,pelagic-neritic,25.5,NA,1490.27369,1.124180083,2.342940496,Actinopteri,LC,0.001355078,42.2416669,NA
Nemipterus japonicus,NA,Nemipteridae,NA,7565000,habitat_benthic,demersal,32,NA,31278.90158,1.261848147,4.127057447,Actinopteri,NA,0.001182042,60.80191858,NA
Nemipterus virgatus,NA,Nemipteridae,NA,5732500,habitat_benthic,demersal,35,NA,22906.75869,0.957144758,4.005625403,Actinopteri,VU,0.003031782,50.12843893,NA
Normanichthys crockeri,NA,Normanichthyidae,NA,267500,habitat_coastal,demersal,11,NA,260047.4754,0.459478193,2.847350524,Actinopteri,NA,8.87E-04,38.20124219,NA
Oblada melanuras,NA,Sparidae,NA,1805000,habitat_reef,benthopelagic,36.59999847,NA,6862.353238,0.430882512,3.43582889,Actinopteri,LC,0.018719801,23.06468281,16
Oncorhynchus gorbuscha,NA,Salmonidae,NA,3357500,migratory,demersal,76,NA,5986072.754,0.491520221,4.49,Actinopteri,NA,0.104122129,40.92840121,NA
Oncorhynchus keta,NA,Salmonidae,NA,2395000,migratory,benthopelagic,100,NA,1232214.468,0.332235885,3.74,Actinopteri,NA,0.231527057,60.55857144,NA
Oncorhynchus kisutch,NA,Salmonidae,NA,2657500,migratory,pelagic,107.9499969,NA,180864.232,0.52822829,4.183103005,Actinopteri,NA,0.183084354,35.21816654,NA
Oncorhynchus masou,NA,Salmonidae,NA,1050000,migratory,benthopelagic,79,NA,11650.48361,0.488,3.641329272,Actinopteri,NA,0.151100366,29.12949444,NA
Oncorhynchus nerka,NA,Salmonidae,NA,1905000,migratory,pelagic-oceanic,84,NA,1750038.608,0.343342144,3.54,Actinopteri,LC,0.228274024,50.14816212,NA
Oncorhynchus tshawytscha,NA,Salmonidae,NA,2962500,migratory,benthopelagic,150,NA,78870.36652,0.491520221,4.4,Actinopteri,NA,0.249369479,33.71337676,NA
Opisthonema libertate,NA,Clupeidae,NA,520000,habitat_coastal,pelagic-neritic,30,NA,579556.2461,0.701094271,2.978123494,Actinopteri,LC,0.001137705,44.34066233,NA
Opisthonema oglinum,NA,Clupeidae,NA,2765000,habitat_coastal,reef-associated,38,NA,38353.45049,1.026959074,4.5,Actinopteri,LC,0.038555188,37.04247057,NA
Orcynopsis unicolor,NA,Scombridae,NA,2472500,hms,pelagic-neritic,130,NA,3446.15792,0.596518223,4.482012652,Actinopteri,LC,0.102251778,24.00178033,NA
Osmerus eperlanus,NA,Osmeridae,NA,1180000,habitat_coastal,pelagic-neritic,45,NA,203386.2059,0.094547828,3.510556337,Actinopteri,LC,0.079589239,49.01246602,NA
Osmerus mordax,NA,Osmeridae,NA,6640000,habitat_coastal,pelagic-oceanic,35.59999847,NA,48591.9841,0.087755132,3,Actinopteri,NA,0.003574455,55.81181939,NA
Otolithes ruber,NA,Sciaenidae,NA,8637500,habitat_coastal,benthopelagic,90,NA,75651.61394,0.865438668,3.6,Actinopteri,NA,0.283989092,40.45348827,NA
Pagellus acarne,NA,Sparidae,NA,2185000,habitat_reef,benthopelagic,36,NA,12714.68568,0.478222754,3.81,Actinopteri,LC,0.003309774,28.37731053,NA
Pagellus bellottii,NA,Sparidae,NA,717500,habitat_reef,demersal,42,NA,22277.50752,0.677967137,3.641329272,Actinopteri,LC,0.081422676,31.48790692,NA
Pagellus bogaraveo,NA,Sparidae,NA,2387500,habitat_reef,benthopelagic,70,NA,14240.12473,0.317996793,4.21,Actinopteri,NT,0.067206017,36.75082099,NA
Pagellus erythrinus,NA,Sparidae,NA,2127500,habitat_reef,benthopelagic,60,NA,19205.76908,0.467310419,3.48,Actinopteri,LC,0.126950872,28.18406741,NA
Pagrus major,NA,Sparidae,NA,1235000,habitat_reef,demersal,100,NA,27715.41741,0.388831741,4.46,Actinopteri,LC,0.105548118,38.11122102,47
Pampus argenteus,NA,Stromateidae,NA,7610000,habitat_coastal,benthopelagic,60,NA,220639.9265,0.666219294,3.3,Actinopteri,NA,0.174637595,34.60759369,NA
Paralabrax humeralis,NA,Serranidae,NA,862500,habitat_benthic,benthopelagic,54.5,NA,36474.70373,0.274989376,4.12,Actinopteri,DD,0.046950046,55.5913753,NA
Paralichthys californicus,NA,Paralichthyidae,NA,375000,habitat_benthic,demersal,152,NA,215.8677611,0.686346119,4.482012652,Actinopteri,LC,0.039895342,43.34156001,NA
Paralichthys dentatus,NA,Paralichthyidae,NA,360000,habitat_benthic,demersal,94,NA,19381.1419,1.335834603,4.49,Actinopteri,LC,0.049432694,67.46486722,102.77
Paralonchurus peruanus,NA,Sciaenidae,NA,150000,habitat_coastal,demersal,51,NA,21622.18548,0.624615121,2.17,Actinopteri,LC,0.023408277,36.80690002,NA
Parapercis colias,NA,Pinguipedidae,NA,465000,habitat_coastal,demersal,45,NA,11421.44512,0.447064618,3.89,Actinopteri,LC,0.045335003,29.0478274,NA
Parastromateus niger,NA,Carangidae,NA,11080000,habitat_coastal,reef-associated,75,NA,170627.184,1.069770735,3.015487262,Actinopteri,LC,0.362740943,39.0352929,NA
Paristiopterus labiosus,NA,Pentacerotidae,NA,827500,habitat_benthic,demersal,100,NA,55.24076796,0.566320874,3.33,Actinopteri,NA,0.071466058,43.19223162,NA
Parona signata,NA,Carangidae,NA,365000,habitat_coastal,demersal,60,NA,3739.276221,0.934625792,3.454510743,Actinopteri,NA,0.028385776,34.59262704,NA
Patagonotothen ramsayi,NA,Nototheniidae,NA,1027500,deep,benthopelagic,44,NA,443616.7456,0.471420356,3.538579081,Actinopteri,NA,0.097151221,49.3676468,NA
Pegusa lascaris,NA,Soleidae,NA,2572500,habitat_benthic,demersal,40,NA,4141.827964,0.191168732,3.29,Actinopteri,LC,0.030464747,51.42109196,NA
Pelates quadrilineatus,NA,Terapontidae,NA,10432500,habitat_coastal,reef-associated,30,NA,25.39081752,0.814152596,3.59,Actinopteri,NA,9.86E-04,35.94956594,NA
Pennahia aneas,NA,Sciaenidae,NA,4990000,habitat_coastal,demersal,30,NA,22525.35337,1.31363675,4.005625403,Actinopteri,NA,0.001636991,43.08630872,NA
Pennahia argentata,NA,Sciaenidae,NA,1032500,habitat_coastal,benthopelagic,40,NA,27970.05508,0.804667561,4.06,Actinopteri,NA,0.037218322,36.57868358,NA
Pentaceros richardsoni,NA,Pentacerotidae,NA,3077500,habitat_benthic,pelagic-oceanic,56,NA,854.3380003,0.392870269,3.547920007,Actinopteri,NA,0.090803675,44.34189975,NA
Pentanemus quinquarius,NA,Polynemidae,NA,650000,habitat_coastal,demersal,35,NA,16110.92931,0.687012387,3.603965566,Actinopteri,VU,0.002475894,29.69354629,NA
Peprilus paru,NA,Stromateidae,NA,2995000,habitat_coastal,benthopelagic,30,NA,1395.855099,0.911406922,4.5,Actinopteri,LC,0.00122027,36.2263518,NA
Peprilus triacanthus,NA,Stromateidae,NA,1105000,pelagic,benthopelagic,30,NA,108500.4293,0.700336418,3.91,Actinopteri,NA,0.001673314,33.04389876,NA
Percophis brasiliensis,NA,Percophidae,NA,1072500,habitat_coastal,demersal,53.29999924,NA,71909.87553,0.257794633,4.173762079,Actinopteri,NA,0.057484871,34.27587627,NA
Petromyzon marinus,NA,Petromyzontidae,NA,2705000,migratory,demersal,120,NA,416.3453277,0.291680948,4.360580501,Petromyzonti,LC,0.04671825,44.52177392,NA
Petrus rupestris,NA,Sparidae,NA,70000,migratory,demersal,200,NA,86.45184772,0.257114227,4.482012652,Actinopteri,EN,0.021808899,47.38933112,NA
Phycis blennoides,NA,Phycidae,NA,3255000,migratory,benthopelagic,110,NA,10835.79277,0.397379693,3.69737483,Actinopteri,NA,0.23775801,37.23935474,NA
Phycis phycis,NA,Phycidae,NA,1815000,habitat_benthic,benthopelagic,65,NA,9656.663803,0.512241091,4.25,Actinopteri,LC,0.05519643,44.4459616,NA
Plagiogeneion rubiginosum,NA,Emmelichthyidae,NA,1440000,deep,bathydemersal,60,NA,3246.226032,0.467322973,3.454510743,Actinopteri,NA,0.078409995,43.10764181,NA
Platichthys flesus,NA,Pleuronectidae,NA,1830000,habitat_benthic,demersal,60,NA,148911.2792,0.340148283,3.32,Actinopteri,LC,0.129542236,57.22371195,NA
Platichthys stellatus,NA,Pleuronectidae,NA,3655000,habitat_benthic,demersal,91,NA,6321.604415,0.256053141,3.58,Actinopteri,LC,0.129391407,52.25296188,NA
Platycephalus indicus,NA,Platycephalidae,NA,11915000,habitat_benthic,reef-associated,100,NA,56660.6226,0.47872139,3.6,Actinopteri,DD,1.743744055,52.29877587,NA
Plectorhinchus gaterinus,NA,Haemulidae,NA,2390000,habitat_reef,reef-associated,50,NA,674.6529054,0.44710991,4.005625403,Actinopteri,NA,0.046080454,26.90108517,NA
Plectorhinchus mediterraneus,NA,Haemulidae,NA,890000,habitat_benthic,demersal,80,NA,1699.859126,0.294570293,3.538579081,Actinopteri,DD,0.086928989,55.07131506,NA
Plectorhinchus pictus,NA,Haemulidae,NA,12412500,habitat_reef,reef-associated,83,NA,47.9135368,0.288603199,3.85,Actinopteri,NA,0.751130435,39.25437499,NA
Plectorhinchus schotaf,NA,Haemulidae,NA,10495000,habitat_reef,reef-associated,80,NA,420.8092813,0.44710991,3.633333333,Actinopteri,NA,0.097598764,28.968426,NA
Plectorhinchus sordidus,NA,Haemulidae,NA,1287500,habitat_reef,reef-associated,60,NA,81.92687122,0.549660927,4.005625403,Actinopteri,NA,0.03411815,27.62234491,NA
Plectropomus pessuliferus,NA,Serranidae,NA,8977500,habitat_reef,reef-associated,120,NA,1961.340225,0.321726946,4.42,Actinopteri,LC,0.062938705,33.36333784,NA
Pleurogrammus azonus,NA,Hexagrammidae,NA,667500,habitat_benthic,demersal,62,NA,3626343.234,0.159533503,3.38,Actinopteri,NA,0.055529708,57.19693332,NA
Pleurogrammus monopterygius,NA,Hexagrammidae,NA,1715000,habitat_coastal,demersal,56.5,NA,2009760.409,0.076601039,3.38,Actinopteri,NA,0.076780479,57.02502444,NA
Pleuronectes platessa,NA,Pleuronectidae,NA,1712500,migratory,demersal,100,NA,184703.5624,0.259689843,3.17,Actinopteri,LC,0.225652379,46.05190037,100
Pleuronectes quadrituberculatus,NA,Pleuronectidae,NA,2015000,habitat_benthic,bathydemersal,87,NA,798334.9775,0.120334472,3.59,Actinopteri,NA,0.101310822,62.75515858,NA
Pogonias cromis,NA,Sciaenidae,NA,1915000,habitat_coastal,demersal,170,NA,52814.07433,0.18652475,3.38,Actinopteri,LC,0.27438538,40.84084234,NA
Polydactylus quadrifilis,NA,Polynemidae,NA,507500,habitat_coastal,demersal,200,NA,167966.2074,0.564120399,4.024307256,Actinopteri,LC,0.309387621,41.83685334,NA
Polyprion americanus,NA,Polyprionidae,NA,7452500,habitat_benthic,demersal,210,NA,19181.41426,0.097063333,4.1457393,Actinopteri,DD,0.158794123,57.70200551,NA
Pomacanthus maculosus,NA,Pomacanthidae,NA,1652500,habitat_reef,reef-associated,50,NA,1194.620401,0.204546984,2.772623112,Actinopteri,LC,0.041877486,40.5262483,NA
Pomadasys argenteus,NA,Haemulidae,NA,10752500,habitat_coastal,demersal,70,NA,7362.777276,0.805877969,3.47,Actinopteri,LC,0.160750006,36.09335894,NA
Pomadasys jubelini,NA,Haemulidae,NA,640000,habitat_coastal,demersal,60,NA,9092.602815,0.753408033,3.389124258,Actinopteri,LC,0.069950378,34.11525425,NA
Pomadasys kaakan,NA,Haemulidae,NA,10845000,habitat_coastal,reef-associated,80,NA,103598.7719,0.626947046,3.510556301,Actinopteri,NA,0.276609072,34.68298483,NA
Pomadasys stridens,NA,Haemulidae,NA,2142500,habitat_coastal,reef-associated,20,NA,1056.79335,0.778971593,4.033648182,Actinopteri,NA,0.001053634,36.16761308,NA
Pomatomus saltatrix,NA,Pomatomidae,NA,137852500,migratory,pelagic-oceanic,130,NA,125269.2375,0.524709109,4.53,Actinopteri,VU,4964.657616,34.93998388,NA
Pontinus kuhlii,NA,Scorpaenidae,NA,1472500,habitat_deep,bathydemersal,52,NA,1536.758348,0.281780151,4.061670962,Actinopteri,DD,0.034161464,38.58297073,NA
Priacanthus macracanthus,NA,Priacanthidae,NA,9322500,habitat_reef,reef-associated,30,NA,38524.31461,0.900748536,4.11771652,Actinopteri,LC,0.001120066,36.05149533,NA
Promethichthys prometheus,NA,Gempylidae,NA,16325000,habitat_deep,benthopelagic,100,NA,204.2702824,0.2825668,4.183103005,Actinopteri,LC,0.715295775,34.75736811,NA
Psenopsis anomala,NA,Centrolophidae,NA,1332500,habitat_coastal,benthopelagic,30,NA,43667.43993,0.702069919,4.014966329,Actinopteri,LC,0.001524986,34.78138953,NA
Psettichthys melanostictus,NA,Pleuronectidae,NA,1187500,habitat_benthic,demersal,63,NA,363.812153,0.306059045,4.071011888,Actinopteri,NA,0.02600897,55.79627562,NA
Psettodes erumei,NA,Psettodidae,NA,3950000,habitat_benthic,demersal,64,NA,81476.7449,0.855080405,4.39,Actinopteri,NA,0.109482346,50.71966868,NA
Pseudocyttus maculatus,NA,Oreosomatidae,NA,2850000,habitat_deep,bathydemersal,68,NA,45282.65927,0.109883806,3.678692977,Actinopteri,DD,0.132655833,52.60389583,NA
Pseudopercis semifasciata,NA,Pinguipedidae,NA,700000,habitat_benthic,demersal,100,NA,14767.71311,0.636895363,3.902875212,Actinopteri,NA,0.123866795,43.32666524,NA
Pseudophycis bachus,NA,Moridae,NA,1075000,habitat_benthic,demersal,90,NA,135606.815,0.201482529,3.93,Actinopteri,NA,0.125660929,52.41278178,NA
Pseudopleuronectes americanus,NA,Pleuronectidae,NA,760000,habitat_benthic,demersal,64,NA,48209.72421,0.307223496,3.62,Actinopteri,NA,0.10710496,68.74815838,87
Pseudopleuronectes herzensteini,NA,Pleuronectidae,NA,427500,habitat_benthic,demersal,50,NA,114429.6126,0.483128298,3.465,Actinopteri,NA,0.059611921,48.55148429,NA
Pseudotolithus elongatus,NA,Sciaenidae,NA,320000,habitat_coastal,demersal,47,NA,144262.6131,0.262800508,4.071011888,Actinopteri,LC,0.016059255,37.03339494,NA
Pseudotolithus senegalensis,NA,Sciaenidae,NA,542500,habitat_coastal,demersal,114,NA,34442.69003,0.4770747,3.818806874,Actinopteri,EN,0.179155245,38.11051742,NA
Pseudotolithus senegallus,NA,Sciaenidae,NA,590000,habitat_coastal,demersal,230,NA,8299.897352,0.453895734,3.912216139,Actinopteri,VU,0.773075091,36.75948988,NA
Pseudupeneus prayensis,NA,Mullidae,NA,652500,habitat_benthic,demersal,55,NA,12069.8998,0.897245891,3.30505592,Actinopteri,VU,0.070821723,48.89551421,NA
Pterogymnus laniarius,NA,Sparidae,NA,180000,habitat_reef,benthopelagic,45,NA,11543.00686,0.38424962,3.631988345,Actinopteri,LC,0.015758872,35.09294427,NA
Pteroscion peli,NA,Sciaenidae,NA,585000,habitat_benthic,benthopelagic,32,NA,7736.777156,0.624615121,3.603965566,Actinopteri,LC,9.53E-04,43.18981042,NA
Rachycentron canadum,NA,Rachycentridae,NA,15987500,hms,reef-associated,200,NA,58777.77515,0.44388526,3.96,Actinopteri,LC,4.528631936,36.89733364,NA
Rastrelliger brachysoma,NA,Scombridae,NA,8362500,pelagic,pelagic-neritic,34.5,NA,924370.2657,1.171892667,2.819327745,Actinopteri,DD,0.002948886,47.88792384,NA
Reinhardtius hippoglossoides,NA,Pleuronectidae,NA,4170000,habitat_benthic,benthopelagic,110,NA,307787.8215,0.171591636,4.38,Actinopteri,NA,0.078709532,50.55554078,NA
Rexea solandri,NA,Gempylidae,NA,1292500,migratory,benthopelagic,110,NA,17719.10638,0.234913051,4.304535049,Actinopteri,NA,0.06425699,37.75799392,NA
Rhabdosargus globiceps,NA,Sparidae,NA,235000,habitat_reef,benthopelagic,65,NA,452.4967304,0.441178878,3.04,Actinopteri,VU,0.015305249,31.73320096,NA
Rhabdosargus haffara,NA,Sparidae,NA,992500,habitat_reef,reef-associated,35,NA,9449.676744,0.560764579,3.547920007,Actinopteri,LC,0.002209874,27.11932258,NA
Rhomboplites aurorubens,NA,Lutjanidae,NA,3140000,habitat_reef,demersal,60,NA,22238.14569,0.392796509,4.36,Actinopteri,VU,0.061405902,29.37631629,NA
Ruvettus pretiosus,NA,Gempylidae,NA,13672500,migratory,benthopelagic,300,NA,59440.96218,0.41595686,4.183103005,Actinopteri,LC,14.4879457,48.91868826,NA
Salilota australis,NA,Moridae,NA,1077500,deep,demersal,50,NA,96078.23777,0.246865935,4.41,Actinopteri,NA,0.044266983,49.95764661,NA
Salmo salar,NA,Salmonidae,NA,3572500,migratory,benthopelagic,150,NA,9019.125512,0.729628165,4.5,Actinopteri,LC,0.241133233,37.07949088,NA
Salvelinus alpinus,NA,Salmonidae,NA,5825000,migratory,benthopelagic,107,NA,1393.2,0.2,4.39,Actinopteri,NA,0.043497741,36.00370294,NA
Sarda chiliensis,NA,Scombridae,NA,307500,pelagic,pelagic-neritic,102,NA,271116.5089,0.474168676,4.49,Actinopteri,NA,0.038494034,30.82321055,NA
Sarda orientalis,NA,Scombridae,NA,14075000,pelagic,pelagic-neritic,102,NA,4837.017878,0.340909222,4.21112582,Actinopteri,LC,1.224394292,36.93684428,NA
Sarda sarda,NA,Scombridae,NA,6197500,hms,pelagic-neritic,91.40000153,NA,139718.1571,0.703009387,4.5,Actinopteri,LC,0.155226423,26.47337724,NA
Sardina pilchardus,NA,Clupeidae,NA,2405000,pelagic,pelagic-neritic,27.5,NA,909343.1019,0.527727922,3.06,Actinopteri,LC,0.0015169,41.56027562,40
Sardinella aurita,NA,Clupeidae,NA,5502500,habitat_coastal,pelagic-neritic,41,NA,207074.7025,0.674292593,3.4,Actinopteri,LC,0.129494898,32.66930475,NA
Sardinella brasiliensis,NA,Clupeidae,NA,2745000,habitat_coastal,pelagic-neritic,27,NA,249674.3961,0.788212212,3.174282949,Actinopteri,DD,0.002169564,37.58276806,NA
